 ,market_open,market_close
2023-08-07,2023-08-07 13:30:00+00:00,2023-08-07 20:00:00+00:00
2023-08-08,2023-08-08 13:30:00+00:00,2023-08-08 20:00:00+00:00
2023-08-09,2023-08-09 13:30:00+00:00,2023-08-09 20:00:00+00:00
2023-08-10,2023-08-10 13:30:00+00:00,2023-08-10 20:00:00+00:00
2023-08-11,2023-08-11 13:30:00+00:00,2023-08-11 20:00:00+00:00
2023-08-14,2023-08-14 13:30:00+00:00,2023-08-14 20:00:00+00:00
2023-08-15,2023-08-15 13:30:00+00:00,2023-08-15 20:00:00+00:00
2023-08-16,2023-08-16 13:30:00+00:00,2023-08-16 20:00:00+00:00
2023-08-17,2023-08-17 13:30:00+00:00,2023-08-17 20:00:00+00:00
2023-08-18,2023-08-18 13:30:00+00:00,2023-08-18 20:00:00+00:00
2023-08-21,2023-08-21 13:30:00+00:00,2023-08-21 20:00:00+00:00
2023-08-22,2023-08-22 13:30:00+00:00,2023-08-22 20:00:00+00:00
2023-08-23,2023-08-23 13:30:00+00:00,2023-08-23 20:00:00+00:00
2023-08-24,2023-08-24 13:30:00+00:00,2023-08-24 20:00:00+00:00
2023-08-25,2023-08-25 13:30:00+00:00,2023-08-25 20:00:00+00:00
2023-08-28,2023-08-28 13:30:00+00:00,2023-08-28 20:00:00+00:00
2023-08-29,2023-08-29 13:30:00+00:00,2023-08-29 20:00:00+00:00
2023-08-30,2023-08-30 13:30:00+00:00,2023-08-30 20:00:00+00:00
2023-08-31,2023-08-31 13:30:00+00:00,2023-08-31 20:00:00+00:00
2023-09-01,2023-09-01 13:30:00+00:00,2023-09-01 20:00:00+00:00
2023-09-05,2023-09-05 13:30:00+00:00,2023-09-05 20:00:00+00:00
2023-09-06,2023-09-06 13:30:00+00:00,2023-09-06 20:00:00+00:00
2023-09-07,2023-09-07 13:30:00+00:00,2023-09-07 20:00:00+00:00
2023-09-08,2023-09-08 13:30:00+00:00,2023-09-08 20:00:00+00:00
2023-09-11,2023-09-11 13:30:00+00:00,2023-09-11 20:00:00+00:00
2023-09-12,2023-09-12 13:30:00+00:00,2023-09-12 20:00:00+00:00
2023-09-13,2023-09-13 13:30:00+00:00,2023-09-13 20:00:00+00:00
2023-09-14,2023-09-14 13:30:00+00:00,2023-09-14 20:00:00+00:00
2023-09-15,2023-09-15 13:30:00+00:00,2023-09-15 20:00:00+00:00
2023-09-18,2023-09-18 13:30:00+00:00,2023-09-18 20:00:00+00:00
2023-09-19,2023-09-19 13:30:00+00:00,2023-09-19 20:00:00+00:00
2023-09-20,2023-09-20 13:30:00+00:00,2023-09-20 20:00:00+00:00
2023-09-21,2023-09-21 13:30:00+00:00,2023-09-21 20:00:00+00:00
2023-09-22,2023-09-22 13:30:00+00:00,2023-09-22 20:00:00+00:00
2023-09-25,2023-09-25 13:30:00+00:00,2023-09-25 20:00:00+00:00
2023-09-26,2023-09-26 13:30:00+00:00,2023-09-26 20:00:00+00:00
2023-09-27,2023-09-27 13:30:00+00:00,2023-09-27 20:00:00+00:00
2023-09-28,2023-09-28 13:30:00+00:00,2023-09-28 20:00:00+00:00
2023-09-29,2023-09-29 13:30:00+00:00,2023-09-29 20:00:00+00:00
2023-10-02,2023-10-02 13:30:00+00:00,2023-10-02 20:00:00+00:00
2023-10-03,2023-10-03 13:30:00+00:00,2023-10-03 20:00:00+00:00
2023-10-04,2023-10-04 13:30:00+00:00,2023-10-04 20:00:00+00:00
2023-10-05,2023-10-05 13:30:00+00:00,2023-10-05 20:00:00+00:00
2023-10-06,2023-10-06 13:30:00+00:00,2023-10-06 20:00:00+00:00
2023-10-09,2023-10-09 13:30:00+00:00,2023-10-09 20:00:00+00:00
2023-10-10,2023-10-10 13:30:00+00:00,2023-10-10 20:00:00+00:00
2023-10-11,2023-10-11 13:30:00+00:00,2023-10-11 20:00:00+00:00
2023-10-12,2023-10-12 13:30:00+00:00,2023-10-12 20:00:00+00:00
2023-10-13,2023-10-13 13:30:00+00:00,2023-10-13 20:00:00+00:00
2023-10-16,2023-10-16 13:30:00+00:00,2023-10-16 20:00:00+00:00
2023-10-17,2023-10-17 13:30:00+00:00,2023-10-17 20:00:00+00:00
2023-10-18,2023-10-18 13:30:00+00:00,2023-10-18 20:00:00+00:00
2023-10-19,2023-10-19 13:30:00+00:00,2023-10-19 20:00:00+00:00
2023-10-20,2023-10-20 13:30:00+00:00,2023-10-20 20:00:00+00:00
2023-10-23,2023-10-23 13:30:00+00:00,2023-10-23 20:00:00+00:00
2023-10-24,2023-10-24 13:30:00+00:00,2023-10-24 20:00:00+00:00
2023-10-25,2023-10-25 13:30:00+00:00,2023-10-25 20:00:00+00:00
2023-10-26,2023-10-26 13:30:00+00:00,2023-10-26 20:00:00+00:00
2023-10-27,2023-10-27 13:30:00+00:00,2023-10-27 20:00:00+00:00
2023-10-30,2023-10-30 13:30:00+00:00,2023-10-30 20:00:00+00:00
2023-10-31,2023-10-31 13:30:00+00:00,2023-10-31 20:00:00+00:00
2023-11-01,2023-11-01 13:30:00+00:00,2023-11-01 20:00:00+00:00
2023-11-02,2023-11-02 13:30:00+00:00,2023-11-02 20:00:00+00:00
2023-11-03,2023-11-03 13:30:00+00:00,2023-11-03 20:00:00+00:00
2023-11-06,2023-11-06 14:30:00+00:00,2023-11-06 21:00:00+00:00
2023-11-07,2023-11-07 14:30:00+00:00,2023-11-07 21:00:00+00:00
2023-11-08,2023-11-08 14:30:00+00:00,2023-11-08 21:00:00+00:00
2023-11-09,2023-11-09 14:30:00+00:00,2023-11-09 21:00:00+00:00
2023-11-10,2023-11-10 14:30:00+00:00,2023-11-10 21:00:00+00:00
2023-11-13,2023-11-13 14:30:00+00:00,2023-11-13 21:00:00+00:00
2023-11-14,2023-11-14 14:30:00+00:00,2023-11-14 21:00:00+00:00
2023-11-15,2023-11-15 14:30:00+00:00,2023-11-15 21:00:00+00:00
2023-11-16,2023-11-16 14:30:00+00:00,2023-11-16 21:00:00+00:00
2023-11-17,2023-11-17 14:30:00+00:00,2023-11-17 21:00:00+00:00
2023-11-20,2023-11-20 14:30:00+00:00,2023-11-20 21:00:00+00:00
2023-11-21,2023-11-21 14:30:00+00:00,2023-11-21 21:00:00+00:00
2023-11-22,2023-11-22 14:30:00+00:00,2023-11-22 21:00:00+00:00
2023-11-24,2023-11-24 14:30:00+00:00,2023-11-24 18:00:00+00:00
2023-11-27,2023-11-27 14:30:00+00:00,2023-11-27 21:00:00+00:00
2023-11-28,2023-11-28 14:30:00+00:00,2023-11-28 21:00:00+00:00
2023-11-29,2023-11-29 14:30:00+00:00,2023-11-29 21:00:00+00:00
2023-11-30,2023-11-30 14:30:00+00:00,2023-11-30 21:00:00+00:00
2023-12-01,2023-12-01 14:30:00+00:00,2023-12-01 21:00:00+00:00
2023-12-04,2023-12-04 14:30:00+00:00,2023-12-04 21:00:00+00:00
2023-12-05,2023-12-05 14:30:00+00:00,2023-12-05 21:00:00+00:00
2023-12-06,2023-12-06 14:30:00+00:00,2023-12-06 21:00:00+00:00
2023-12-07,2023-12-07 14:30:00+00:00,2023-12-07 21:00:00+00:00
